cow,breed,dmi,visits,et,timevis,mbw,my,dim
6109,Holstein,35.2488,50.2,153.36,3.072,138.472,71.172,95
6280,Holstein,34.4448,20.4,191.442,10.104,141.916,70.416,143
6318,Holstein,38.3016,25.4,169.98,7.168,150.882,74.52,135
6396,Holstein,34.452,19.4,186.68,10.474,134.276,85.104,118
6621,Holstein,37.6272,24.4,180.846,7.428,144.948,73.872,132
6644,BrownSwiss,32.878,21.8,181.158,8.232,144.816,66.51,123
6718,BrownSwiss,31.424,22.6,172.054,8.934,159.424,57.96,106
6741,NorwegianRed,32.2542,20.6,108.574,5.518,152.276,47.223,117
6904,BrownSwiss,30.63,24.4,178.242,7.354,147.572,62.73,144
6947,BrownSwiss,30.174,23.2,194.44,8.916,138.34,51.57,134
6967,BrownSwiss,31.16,25.6,171.25,6.76,145.35,62.85,106
7025,Holstein,35.7408,26.8,212.262,8.182,144.43,74.844,112
7044,Holstein,36.1824,41.2,191.272,4.764,137.822,54.54,143
7045,NorwegianRed,31.801,27.4,178.776,6.728,149.994,66.033,132
7070,NorwegianRed,37.323,20.8,158.348,8.194,142.95,66.231,112
7098,BrownSwiss,29.212,43.6,267.874,6.414,135.718,56.79,125
7103,NorwegianRed,31.6492,20.8,233.24,11.366,140.294,64.053,117
7239,NorwegianRed,35.728,21.8,180.86,8.404,148.904,61.479,140
7254,BrownSwiss,30.948,33.2,250.244,7.662,127.762,53.01,139
7262,NorwegianRed,31.9792,46.0,294.71,6.534,137.622,59.301,140
7274,Holstein,45.0816,20.8,190.478,9.648,153.026,55.188,140
7276,Holstein,36.264,21.0,244.05,11.62,127.09,75.6,119
7283,NorwegianRed,28.325,23.6,164.45,7.284,142.176,55.341,121
7297,Holstein,37.1256,36.6,226.434,6.304,143.906,62.1,131
7298,BrownSwiss,22.378,41.2,245.506,6.082,143.532,47.97,130
7310,NorwegianRed,34.078,25.7,214.1075,8.46,149.44,59.02875,134
7321,NorwegianRed,33.4972,40.8,232.548,5.746,142.992,58.905,131
7323,Holstein,36.972,44.8,307.684,6.962,133.528,68.256,130
7330,BrownSwiss,31.476,31.8,202.832,6.546,134.872,53.73,141
7344,Holstein,34.2072,23.4,164.668,7.178,128.546,57.996,95
7366,BrownSwiss,27.366,47.2,196.318,4.176,134.596,45,129
7367,NorwegianRed,29.1104,52.0,237.89,4.706,136.374,64.152,148
7375,Holstein,34.1928,17.2,172.22,10.592,136.368,73.332,147
7376,BrownSwiss,32.554,27.6,175.662,6.394,141.202,59.04,125
7379,NorwegianRed,30.2764,23.8,197.93,8.9,144.606,48.807,94
7381,BrownSwiss,27.818,36.0,267.392,7.654,130.856,51.3,143
7384,BrownSwiss,24.418,55.6,255.3,4.79,131.81,44.73,124
7397,NorwegianRed,32.2498,33.0,228.53,6.984,143.728,63.063,118
7400,NorwegianRed,29.469,23.4,220.344,9.66,135.188,50.391,98
7405,BrownSwiss,24.914,28.8,177.886,6.446,135.344,47.61,111
7407,BrownSwiss,21.972,61.6,265.672,4.36,125.616,49.14,115
7420,Holstein,31.7472,31.0,243.666,7.87,124.372,70.524,136
7423,NorwegianRed,28.8706,23.6,192.362,8.21,128.416,60.687,100
7425,BrownSwiss,25.1425,31.7,256.815,8.2025,124.485,51.6375,125
7434,Holstein,33.81,23.0,209.215,9.105,132.59,55.755,96
7437,BrownSwiss,30.146,57.0,233.164,4.178,137.456,50.94,118
7446,NorwegianRed,31.735,27.0,173.018,6.7,141.096,64.548,97
7626,NorwegianRed,28.4306,42.6,260.796,6.406,132.748,54.351,150
7666,BrownSwiss,23.024,30.8,239.616,7.958,129.568,48.15,148
7697,NorwegianRed,31.1696,68.6,214.626,3.156,129.434,47.718,139
7702,Holstein,24.5592,29.6,202.62,7.052,121.54,31.536,119
7731,Holstein,32.3352,51.4,253.078,4.922,121.304,57.132,127
7732,NorwegianRed,25.7994,48.8,293.5,6.314,118.668,60.687,116
7740,Holstein,25.284,22.2,184.026,8.716,114.04,38.88,148
7751,NorwegianRed,22.92125,59.5,265.9,4.505,109.5925,45.91125,115
7753,Holstein,24.42,45.6,214.898,4.788,120.3,47.304,142
7754,BrownSwiss,22.05,67.2,289.854,4.324,114.778,35.64,132
7766,NorwegianRed,22.0286,39.4,219.22,5.55,122.972,35.838,105
7768,NorwegianRed,26.8774,55.4,244.42,4.43,121.264,49.797,112
7769,BrownSwiss,21.792,70.4,223.994,3.25,127.21,36.36,103
7780,BrownSwiss,21.274,49.6,263.274,5.386,118.106,42.21,99
7787,Holstein,22.8912,33.0,226.02,6.898,133.408,37.692,126
7791,Holstein,24.0456,39.4,202.668,5.296,117.644,49.14,100
